sentence,label
Hay,0
Ünlü kadınlar yuva yıkar hayretbişey arkadaş normal bir ünlü,0
Vallahi bu aralar istediğimiz tek şey huzur,0
Yok yok o değil sadece bilim fuarı başka başka şehirdeyim miş öyle miymiş e,0
Hadi dönelim geç oluyor bence bunlar bize yeter bence de,0
Benim de benim de ama bak gittiler işte sakin olsa biraz kardeşim ben de besleyeceğim kuşları,0
Gümüş sikke bıraktım ellerini yıkadıktan sonra da yüzüme eldivenlerini giymeden tatlım son bir soru sorma yüzünüzü eldiveni giymeden önce mi yoksa sonra mı takarsın,0
Yapı yıllardır hiç hareket etmemiş mi,0
E tabii böyle bir şeyin olması da garip,0
Kamil ucu bükülür denesek ne çıkar ay İyi bakalım hadi o zaman tüf tüfleri,0
Geride,0
Mert abim ya,0
Hiçbir şey yapmasa olmaz,0
Kalanları da reçel yaparım,0
Mini mini bir kuş uçmuştu bacağıma konmuştu,0
hemen alıp gelin ittiririm,0
Bugün nerelerde,0
Mert abim geldi ama geri gitti,0
yüzden,0
Quatro,0
Bana bak beni kandıramazsın tamam mı,0
yanlış olmasın,0
Oha,0
Evet diğeri geldi,0
Mimar,0
Ayşe,0
O zaman en yakın zamanda,0
Paşa mı istemiş bu konuda farklı rivayetler var,0
Sen hiç gördün mü üç yanaklı bir adam,0
Türk müsünüz bakalım,0
Burası,0
Yani okum da bitmek üzere zaten,0
Günün nasıl geçti oğlum çok güzeldi,0
Sultan,0
Osmanlı döneminin mimarisi ve süslemeleri olan,0
Neden buradasın bana açıkla az def ol git buradan senin yüzünü görmek istemiyorum,0
R,0
Haydi şimdi,0
Kirpiğim saçlarımda var,0
Bakmadan naneli ve limonlu şekeri si sonra paketini alıp gitti hiç tadına bakmadı bu kız nasıl giyinmiştir uzun mor bir elbisesi ve başında da örtüsü vardır yalnız başınaydı elindede eldivenleri vardı çok nazik ve,0
Eski,0
Müzik İki,0
Senin için ayırdım,0
Tamam dedeciğim,0
Balkanlardaki tüm,0
Müzik zı rafadan rafadan ama,0
Eyvah ip çözüldü ne yapacağız bilet,0
Müzik gel sayalım gel sayalım,0
alkar yüzünden kimse,0
Tamam,0
Mini mini bir kuş uçmuştu,0
Müzik,0
Tabii ki hemen vereyim bugün buralara,0
Biz,0
Ne kahveni verse hepsini çevirmek lazım,0
Bacaklarım,0
Ece Erkene önyargılı davranıp onu hiç sevmiyorsunuz oysa ki tanısanız nefret edersiniz,0
Müzik bak dom dom ve,0
Asya istersen benim ödevimi alabilirsin ne ödevini mi veriyorsun ne ödevini bana mı veriyorsun,0
Hadi,0
Cümbür,0
Survival,0
Müzik baş omuz diz ayak diz ayak baş omuz diz ayak diz ayak gözler kulaklar ağız ve burun baş amuz diz ayak diz ayak baş omuz diz ayak diz ayak baş omuz diz ayak diz ayak gözler kulaklar ağız ve burun baş omuz diz ayak,0
sen düşünüp karar verinceye kadar akşam olacak sadece denk geldi işte,0
Arif,0
Ellerimi yıkadım ve,0
Kimse söylememiş galiba dedi galiba söylememiş bu dalgalar camiye zarar vermiyor mu şiddetli dalgaların yapıya zarar vermemesi için suyu denize gönderen bir kanal da inşa edilmiş,0
Alkışla sarıyı pembeyi pembeyi sarıyı biliyorsan hep,0
Müzik bak iki gözüm,0
Yok yok bir şey demedim,0
Evet çok güzel dondum,0
R se,0
Müzik,0
Can kaybı olmaması tek temennim,0
Asyanın ağzından,0
Koca,0
Asyam,0
Buradayım buradayım işte buradayım abi parmak abi parmak neredesin,0
E sen kaçtın tekerlek hatırlıyor musun,0
Hadi gel,0
Onu bulmanızı ve kızıma teslim etmenizi istiyorum karşılığında daha onlar altın mükâfat vereceğim şimdi gidip kızımdan olayı eminiz,0
Alkışla sarıyı biliyorsan,0
Hey olur mu hiç üç kulak önde,0
yapayım beynim hızlı çalışıyor baskete atıp maçı bitirecektim beynin hızlı çalışıyor yanlış karar veriyor bakalım tamirhanede merdiven bulabilecek miyiz,0
Ezgi bizim,0
Kala kala  __  veren 6 hissi gelişmiş,0
Mimar,0
Paşa nın isteği yerine gelsin diye hava akımları sebebiyle kuşların konamadı bir mevki,0
Kızı da halktan biri de benim için ayrı,0
